Name,Ra,Dec,Rotation,ROI
Cep-01,00:00:00.0,+85:00:00.0,0,100
Cam-01,06:00:00.0,+85:00:00.0,0,100
Cam-02,12:00:00.0,+85:00:00.0,0,100
Dra-01,18:00:00.0,+85:00:00.0,0,100
Cep-02,00:00:00.0,+77:30:00.0,0,100
Cam-03,04:00:00.0,+77:30:00.0,0,100
Cam-04,08:00:00.0,+77:30:00.0,0,100
Cam-05,12:00:00.0,+77:30:00.0,0,100
UMi-01,16:00:00.0,+77:30:00.0,0,100
Dra-02,20:00:00.0,+77:30:00.0,0,100
Cam-06,04:48:00.0,+70:00:00.0,0,100
Cam-07,07:12:00.0,+70:00:00.0,0,100
UMa-01,09:36:00.0,+70:00:00.0,0,100
Dra-03,12:00:00.0,+70:00:00.0,0,100
UMi-02,14:24:00.0,+70:00:00.0,0,100
Dra-04,16:48:00.0,+70:00:00.0,0,100
Dra-05,19:12:00.0,+70:00:00.0,0,100
Cep-04,21:36:00.0,+70:00:00.0,0,100
Cam-09,05:08:34.3,+62:00:00.0,0,100
Cam-10,06:51:25.7,+62:00:00.0,0,100
UMa-02,08:34:17.1,+62:00:00.0,0,100
UMa-03,10:17:08.6,+62:00:00.0,0,100
UMa-04,12:00:00.0,+62:00:00.0,0,100
UMa-05,13:42:51.4,+62:00:00.0,0,100
Dra-06,15:25:42.9,+62:00:00.0,0,100
Dra-07,17:08:34.3,+62:00:00.0,0,100
Dra-08,18:51:25.7,+62:00:00.0,0,100
Cep-05,20:34:17.1,+62:00:00.0,0,100
Aur-01,05:38:49.4,+54:00:00.0,0,100
Lyn-01,07:03:31.8,+54:00:00.0,0,100
Lyn-02,08:28:14.1,+54:00:00.0,0,100
UMa-06,09:52:56.5,+54:00:00.0,0,100
UMa-07,11:17:38.8,+54:00:00.0,0,100
UMa-08,12:42:21.2,+54:00:00.0,0,100
Boo-01,14:07:03.5,+54:00:00.0,0,100
Dra-09,15:31:45.9,+54:00:00.0,0,100
Dra-10,16:56:28.2,+54:00:00.0,0,100
Dra-11,18:21:10.6,+54:00:00.0,0,100
Cyg-01,19:45:52.9,+54:00:00.0,0,100
And-01,00:00:00.0,+46:00:00.0,0,100
And-02,01:12:00.0,+46:00:00.0,0,100
And-03,02:24:00.0,+46:00:00.0,0,100
Aur-02,06:00:00.0,+46:00:00.0,0,100
Lyn-03,07:12:00.0,+46:00:00.0,0,100
Lyn-04,08:24:00.0,+46:00:00.0,0,100
UMa-09,09:36:00.0,+46:00:00.0,0,100
UMa-10,10:48:00.0,+46:00:00.0,0,100
UMa-11,12:00:00.0,+46:00:00.0,0,100
CVn-01,13:12:00.0,+46:00:00.0,0,100
Boo-02,14:24:00.0,+46:00:00.0,0,100
Boo-03,15:36:00.0,+46:00:00.0,0,100
Her-01,16:48:00.0,+46:00:00.0,0,100
Her-02,18:00:00.0,+46:00:00.0,0,100
Lyr-01,19:12:00.0,+46:00:00.0,0,100
Lac-02,22:48:00.0,+46:00:00.0,0,100
And-04,00:00:00.0,+38:00:00.0,0,100
And-05,01:05:27.3,+38:00:00.0,0,100
And-06,02:10:54.5,+38:00:00.0,0,100
Per-04,03:16:21.8,+38:00:00.0,0,100
Aur-04,06:32:43.6,+38:00:00.0,0,100
Lyn-05,07:38:10.9,+38:00:00.0,0,100
Lyn-06,08:43:38.2,+38:00:00.0,0,100
LMi-01,09:49:05.5,+38:00:00.0,0,100
UMa-12,10:54:32.7,+38:00:00.0,0,100
UMa-13,12:00:00.0,+38:00:00.0,0,100
CVn-02,13:05:27.3,+38:00:00.0,0,100
Boo-04,14:10:54.5,+38:00:00.0,0,100
Boo-05,15:16:21.8,+38:00:00.0,0,100
CrB-01,16:21:49.1,+38:00:00.0,0,100
Her-03,17:27:16.4,+38:00:00.0,0,100
