Name,Ra,Dec,Rotation,ROI
Cep-03,00:00:00.0,+70:00:00.0,0,100
Cas-01,02:24:00.0,+70:00:00.0,0,100
Cas-02,00:00:00.0,+62:00:00.0,0,100
Cas-03,01:42:51.4,+62:00:00.0,0,100
Cam-08,03:25:42.9,+62:00:00.0,0,100
Cep-06,22:17:08.6,+62:00:00.0,0,100
Cas-04,00:00:00.0,+54:00:00.0,0,100
Cas-05,01:24:42.4,+54:00:00.0,0,100
Per-01,02:49:24.7,+54:00:00.0,0,100
Cam-11,04:14:07.1,+54:00:00.0,0,100
Cyg-02,21:10:35.3,+54:00:00.0,0,100
Lac-01,22:35:17.6,+54:00:00.0,0,100
Per-02,03:36:00.0,+46:00:00.0,0,100
Per-03,04:48:00.0,+46:00:00.0,0,100
Cyg-03,20:24:00.0,+46:00:00.0,0,100
Cyg-04,21:36:00.0,+46:00:00.0,0,100
Per-05,04:21:49.1,+38:00:00.0,0,100
Aur-03,05:27:16.4,+38:00:00.0,0,100
Cyg-05,19:38:10.9,+38:00:00.0,0,100
Cyg-06,20:43:38.2,+38:00:00.0,0,100
Aur-05,05:00:00.0,+30:00:00.0,0,100
Aur-06,06:00:00.0,+30:00:00.0,0,100
Cyg-08,20:00:00.0,+30:00:00.0,0,100
Tau-04,05:32:18.5,+22:00:00.0,0,100
Gem-03,06:27:41.5,+22:00:00.0,0,100
Vul-01,19:23:04.6,+22:00:00.0,0,100
Vul-02,20:18:27.7,+22:00:00.0,0,100
Ori-02,06:13:20.0,+14:00:00.0,0,100
Gem-05,07:06:40.0,+14:00:00.0,0,100
Her-10,18:40:00.0,+14:00:00.0,0,100
Aql-01,19:33:20.0,+14:00:00.0,0,100
Ori-04,06:00:00.0,+06:00:00.0,0,100
Mon-01,06:51:25.7,+06:00:00.0,0,100
Ser-04,18:51:25.7,+06:00:00.0,0,100
Aql-02,19:42:51.4,+06:00:00.0,0,100
Mon-02,06:51:25.7,-02:00:00.0,0,100
Ser-07,18:00:00.0,-02:00:00.0,0,100
Aql-03,18:51:25.7,-02:00:00.0,0,100
Mon-05,06:51:25.7,-10:00:00.0,0,100
Mon-06,07:42:51.4,-10:00:00.0,0,100
Oph-05,17:08:34.3,-10:00:00.0,0,100
Oph-06,18:00:00.0,-10:00:00.0,0,100
Sct-01,18:51:25.7,-10:00:00.0,0,100
Aql-06,19:42:51.4,-10:00:00.0,0,100
CMa-02,07:06:40.0,-18:00:00.0,0,100
Pup-01,08:00:00.0,-18:00:00.0,0,100
Oph-07,16:53:20.0,-18:00:00.0,0,100
Sgr-01,17:46:40.0,-18:00:00.0,0,100
Sgr-02,18:40:00.0,-18:00:00.0,0,100
Sgr-03,19:33:20.0,-18:00:00.0,0,100
Pup-02,07:40:48.0,-26:00:00.0,0,100
Pyx-01,08:38:24.0,-26:00:00.0,0,100
Sco-02,16:19:12.0,-26:00:00.0,0,100
Oph-08,17:16:48.0,-26:00:00.0,0,100
Sgr-04,18:14:24.0,-26:00:00.0,0,100
Sgr-05,19:12:00.0,-26:00:00.0,0,100
Pup-03,07:18:15.7,-34:00:00.0,0,100
Pup-04,08:20:52.2,-34:00:00.0,0,100
Lup-01,15:39:07.8,-34:00:00.0,0,100
Sco-03,16:41:44.3,-34:00:00.0,0,100
Sco-04,17:44:20.9,-34:00:00.0,0,100
Sgr-06,18:46:57.4,-34:00:00.0,0,100
Pup-06,08:00:00.0,-42:00:00.0,0,100
Vel-01,09:08:34.3,-42:00:00.0,0,100
Lup-02,16:00:00.0,-42:00:00.0,0,100
Sco-05,17:08:34.3,-42:00:00.0,0,100
CrA-01,18:17:08.6,-42:00:00.0,0,100
Vel-03,09:20:00.0,-50:00:00.0,0,100
Vel-04,10:40:00.0,-50:00:00.0,0,100
Lup-03,14:40:00.0,-50:00:00.0,0,100
Nor-01,16:00:00.0,-50:00:00.0,0,100
Ara-01,17:20:00.0,-50:00:00.0,0,100
Tel-01,18:40:00.0,-50:00:00.0,0,100
Car-02,09:36:00.0,-58:00:00.0,0,100
Car-03,11:12:00.0,-58:00:00.0,0,100
Cru-01,12:48:00.0,-58:00:00.0,0,100
Cen-10,14:24:00.0,-58:00:00.0,0,100
Nor-02,16:00:00.0,-58:00:00.0,0,100
Ara-02,17:36:00.0,-58:00:00.0,0,100
Car-04,10:00:00.0,-66:00:00.0,0,100
Mus-01,12:00:00.0,-66:00:00.0,0,100
Cir-01,14:00:00.0,-66:00:00.0,0,100
TrA-01,16:00:00.0,-66:00:00.0,0,100
